Building,Bed,Bath,Study,Floor Plan,URL,Floor Plan Viewer,SF,Orientation,Unit Numbers,Quantity,
The Shore,2,2,FALSE,B9,https://drive.google.com/file/d/1ri-AzFl2Ry7EsoDJhP0fhmmk_UQxhl8X/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1ri-AzFl2Ry7EsoDJhP0fhmmk_UQxhl8X,"1,547",,,,
The Shore,2,2,FALSE,B10,https://drive.google.com/file/d/1VDCj5MyoexKd9xNP9bizy6spb_3VwXPj/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1VDCj5MyoexKd9xNP9bizy6spb_3VwXPj,"1,308",,,,
The Shore,2,2,FALSE,E1,https://drive.google.com/file/d/1Qqx1rmf5nYdQ6_kemrgMKiaAVTiO4kUh/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1Qqx1rmf5nYdQ6_kemrgMKiaAVTiO4kUh,"1,945",,,,
The Shore,2,2,FALSE,E2,https://drive.google.com/file/d/1JJjOcscRbX79bNzaoz5iaBfgvTlmSG8h/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1JJjOcscRbX79bNzaoz5iaBfgvTlmSG8h,"1,878",,,,
The Shore,2,2,FALSE,E3,https://drive.google.com/file/d/1wO92BNVk-tipCYgHxAzBh-I0stuCYga4/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1wO92BNVk-tipCYgHxAzBh-I0stuCYga4,"2,134",,,,
The Shore,2,2,FALSE,E4,https://drive.google.com/file/d/1E7QZBJ585NW7FPmjc1QfQxfgJucSKPBX/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1E7QZBJ585NW7FPmjc1QfQxfgJucSKPBX,"1,882",,,,
The Shore,2,2.5,FALSE,E5,https://drive.google.com/file/d/1gP6M_-x3YNpL6dssYVDxt3cogdF6s0HN/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1gP6M_-x3YNpL6dssYVDxt3cogdF6s0HN,"2,481",,,,
The Shore,2,2.5,FALSE,E6,https://drive.google.com/file/d/12fKVAfM5vvrhBOEIZC4g8h2wK0YCT0cy/view?usp=drive_link,https://drive.google.com/uc?export=view&id=12fKVAfM5vvrhBOEIZC4g8h2wK0YCT0cy,"3,077",,,,
Milago,1,1,FALSE,748,https://drive.google.com/file/d/1TYOlFofEa2lTVjvQG9LEn_BMW2FwtPl1/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1TYOlFofEa2lTVjvQG9LEn_BMW2FwtPl1,845-950 (748),,,,
Milago,1,1,FALSE,756,https://drive.google.com/file/d/17RnAQMz6RRYwZGsB53jHlXy-xylnKyOD/view?usp=drive_link,https://drive.google.com/uc?export=view&id=17RnAQMz6RRYwZGsB53jHlXy-xylnKyOD,826 (756),,,,
Milago,1,1,FALSE,756 A,https://drive.google.com/file/d/1uOE5C4R4cBE0dBZMSMdU_Rl-yoa05jqJ/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1uOE5C4R4cBE0dBZMSMdU_Rl-yoa05jqJ,826 (756),,,,
Milago,1,1,FALSE,781,https://drive.google.com/file/d/1fHBcRbIhZ_CrGJkdPhye4B0JlAGVLzfm/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1fHBcRbIhZ_CrGJkdPhye4B0JlAGVLzfm,846 (781),,,,
Milago,1,1,TRUE,852,"https://drive.google.com/file/d/1d6fuXrHMT9u32A_uSiHe_Tcf-MzgRlEc/view?usp=drive_link,%20https://drive.google.com/file/d/1yBmiAgvL99ul1s08k5tO2yv1y6cVcAhW/view?usp=drive_link",https://drive.google.com/uc?export=view&id=1d6fuXrHMT9u32A_uSiHe_Tcf-MzgRlEc,852,,,,
