source,buildingSlug,buildingName,unitNumber,status,closeDate,listingContractDate,closePrice,listPrice,originalListPrice,closePricePerSqft,listPricePerSqft,sqft,bedrooms,bathrooms,daysOnMarket,cumulativeDaysOnMarket,floorPlan,orientation,floorPlanSqft,floorPlanBeds,floorPlanBaths,floorPlanHasStudy,hoaFee,hoaFeeFrequency,yearBuilt,parkingFeatures,buyerFinancing,listAgentFullName,listOfficeName,buyerAgentFullName,buyerOfficeName,cpLp,cpOlp,previousListPrice,listingId,address,mlsArea
mls-csv-import,1306-west,1306 West,2103,Withdrawn,,2017-02-06,,480000,480000,,643.43,746,1,1,123,123,,,,,,,255,Monthly,2017,"Assigned, Attached, Garage",,Autumn Lapaglia,Legacy Austin Realty,,,,,,4389471,1306  West Ave  #2103,DT
mls-csv-import,1306-west,1306 West,3101,Withdrawn,,2017-01-30,,605000,605000,,535.87,1129,2,2,130,130,,,,,,,255,Monthly,2017,"Assigned, Attached, Garage",,Autumn Lapaglia,Legacy Austin Realty,,,,,,8711812,1306  West Ave  #3101,DT
mls-csv-import,1306-west,1306 West,1101,Withdrawn,,2016-08-06,,505000,505000,,667.99,756,1,1,307,307,,,,,,,255,Monthly,2017,"Assigned, Garage",,Autumn Lapaglia,Legacy Austin Realty,,,,,,1052163,1306  West Ave  #1101,DT
mls-csv-import,1306-west,1306 West,3D,Withdrawn,,2016-08-06,,620000,620000,,549.16,1129,2,2,184,184,,,,,,,225,Monthly,2017,"Assigned, Garage",,Autumn Lapaglia,Legacy Austin Realty,,,,,,2171501,1306  West Ave  #3D,DT
mls-csv-import,1306-west,1306 West,2107,Withdrawn,,2016-08-06,,447000,447000,,611.49,731,1,1,307,307,,,,,,,225,Monthly,2017,"Assigned, Garage",,Autumn Lapaglia,Legacy Austin Realty,,,,,,4605096,1306  West Ave  #2107,DT
mls-csv-import,360-condominiums,360 Condominiums,2005,Closed,2026-02-09,2026-01-07,5250,5500,5500,4.49,4.7,1169,2,2,33,33,B4,E,1225,2,2,false,,,2011,"Assigned, Garage",,Megan Colwart,DEN Property Group,Taylor Senesi,DEN Property Group,0.9545,0.9545,,5448865,210  Lavaca St  #2005,DT
mls-csv-import,360-condominiums,360 Condominiums,3503,Active,,2026-01-28,,5900000,5900000,,1656.37,3562,3,4,19,19,A4,E,728,1,1,false,5237,Monthly,2011,"Garage, Gated, Secured, Valet",,Eric Moreland,Moreland Properties,,,,,,1163152,210  Lavaca St  #3503,DT
mls-csv-import,360-condominiums,360 Condominiums,2301,Active,,2026-01-27,,3500000,3500000,,1792.11,1953,2,3,20,20,A9,SEc,801,1,1,false,2553,Monthly,2011,"Concrete, Door-Single, Enclosed, Garage Door Opener, Gated, Lighted, Private, Reserved, Storage, Underground, Valet",,Jeff Taylor,Kuper Sotheby's Int'l Realty,,,,,,5703839,210  Lavaca St  #2301,DT
mls-csv-import,360-condominiums,360 Condominiums,1405,Active,,2026-01-24,,829900,829900,,677.47,1225,2,2,4,4,B4,E,1225,2,2,false,1146,Monthly,2008,"Attached, Garage, Reserved",,Kristee Leonard,"The Leaders Realty, LLC",,,,,850000,9241476,360  Nueces St  #1405,DT
mls-csv-import,360-condominiums,360 Condominiums,2809,Active,,2026-01-23,,4300,4300,,6.71,641,1,1,24,24,B2,E,1244,2,2,false,,,2011,"Garage, Guest, Secured",,Kumara Wilcoxon,Kuper Sotheby's Int'l Realty,,,,,,3594821,210  Lavaca St  #2809,DT
mls-csv-import,360-condominiums,360 Condominiums,1802,Closed,2026-01-15,2025-07-18,5000,5250,5750,4.28,4.49,1169,2,2,109,109,B3,SWc,1059,2,2,false,,,2011,"Assigned, Garage",,Brad Pauly,Pauly Presley Realty,Erin Hentschel,"Compass RE Texas, LLC",0.9524,0.8696,5750,3046411,210  Lavaca St  #1802,DT
mls-csv-import,360-condominiums,360 Condominiums,2006,Closed,2026-01-15,2025-10-26,2500,2500,2700,3.34,3.34,748,1,1,54,54,A1,W,748,1,1,false,,,2008,"Assigned, Attached, Covered, Garage",,Kim Fodor,"Compass RE Texas, LLC.",Luke Allen,Austin Marketing + Development,1.0000,0.9259,2700,7897279,360  Nueces St  #2006,DT
mls-csv-import,360-condominiums,360 Condominiums,3504,Active,,2026-01-06,,4500000,4500000,,1552.26,2899,3,4,41,41,B8,W,998,2,2,false,3500,Monthly,2011,"Garage, Reserved, Underground",,Kumara Wilcoxon,Kuper Sotheby's Int'l Realty,,,,,,3660683,210  Lavaca St  #3504,DT
mls-csv-import,360-condominiums,360 Condominiums,3807,Closed,2025-12-23,2025-06-13,499000,509000,624000,585.68,597.42,852,1,1,158,158,A12,E,852,1,1,false,810,Monthly,2008,"Assigned, Garage",Conventional,Kirk Lewis,Kuper Sotheby's Int'l Realty,Erik Diehl,Erik Diehl,0.9804,0.7997,539000,8351919,360  Nueces St  #3807,DT
mls-csv-import,360-condominiums,360 Condominiums,2809,Active,,2025-12-04,,649000,649000,,1012.48,641,1,1,74,74,B2,E,1244,2,2,false,1065,Monthly,2011,"Garage, Guest, Secured",,Kumara Wilcoxon,Kuper Sotheby's Int'l Realty,,,,,,2265384,210  Lavaca St  #2809,DT
mls-csv-import,360-condominiums,360 Condominiums,2211,Closed,2025-10-31,2024-09-21,920000,1075000,1399000,646.52,755.45,1423,2,3,386,592,B6,NEc,1280,2,2,false,1533,Monthly,2011,"Additional Parking, Assigned, Basement, Common, Concrete, Enclosed, Garage Door Opener, Gated, Guest, Private, Reserved, Secured, Underground, Valet",Cash,Ross Melby,"Compass RE Texas, LLC",Dustin Preston,"Grand Land Realty, LLC",0.8558,0.6576,1195000,2754345,210  Lavaca St  #2211,DT
mls-csv-import,360-condominiums,360 Condominiums,1809,Active,,2025-10-31,,665000,675000,,1037.44,641,1,1,108,108,B2,E,1244,2,2,false,800,Monthly,2011,"Assigned, Garage",,Anthony Gibson,Keller Williams Realty,,,,,675000,6219306,210  Lavaca St  #1809,DT
mls-csv-import,360-condominiums,360 Condominiums,1911,Active,,2025-10-16,,9000,9000,,6.32,1423,2,3,123,158,B6,NEc,1280,2,2,false,,,2011,Assigned,,Bryan Cady,DEN Property Group,,,,,,8861553,210  Lavaca St  #1911,DT
